name,cpg,brandCode,category,topBrand,categoryCode,_id,barcode,cpg_ref,cpg_id
test brand @1612366101024,"{'$id': {'$oid': '601ac114be37ce2ead437550'}, '$ref': 'Cogs'}",,Baking,False,BAKING,601ac115be37ce2ead437551,511111019862,Cogs,601ac114be37ce2ead437550
Starbucks,"{'$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}, '$ref': 'Cogs'}",STARBUCKS,Beverages,False,BEVERAGES,601c5460be37ce2ead43755f,511111519928,Cogs,5332f5fbe4b03c9a25efd0ba
test brand @1612366146176,"{'$id': {'$oid': '601ac142be37ce2ead437559'}, '$ref': 'Cogs'}",TEST BRANDCODE @1612366146176,Baking,False,BAKING,601ac142be37ce2ead43755d,511111819905,Cogs,601ac142be37ce2ead437559
test brand @1612366146051,"{'$id': {'$oid': '601ac142be37ce2ead437559'}, '$ref': 'Cogs'}",TEST BRANDCODE @1612366146051,Baking,False,BAKING,601ac142be37ce2ead43755a,511111519874,Cogs,601ac142be37ce2ead437559
test brand @1612366146827,"{'$id': {'$oid': '5332fa12e4b03c9a25efd1e7'}, '$ref': 'Cogs'}",TEST BRANDCODE @1612366146827,Candy & Sweets,False,CANDY_AND_SWEETS,601ac142be37ce2ead43755e,511111319917,Cogs,5332fa12e4b03c9a25efd1e7
test brand @1612366146091,"{'$id': {'$oid': '601ac142be37ce2ead437559'}, '$ref': 'Cogs'}",TEST BRANDCODE @1612366146091,Baking,False,BAKING,601ac142be37ce2ead43755b,511111719885,Cogs,601ac142be37ce2ead437559
test brand @1612366146133,"{'$id': {'$oid': '601ac142be37ce2ead437559'}, '$ref': 'Cogs'}",TEST BRANDCODE @1612366146133,Baking,False,BAKING,601ac142be37ce2ead43755c,511111219897,Cogs,601ac142be37ce2ead437559
J.L. Kraft,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",J.L. KRAFT,Condiments & Sauces,,,5cdad0f5166eb33eb7ce0faa,511111104810,Cogs,559c2234e4b06aca36af13c6
Campbell's Home Style,"{'$ref': 'Cogs', '$id': {'$oid': '5a734034e4b0d58f376be874'}}",CAMPBELLS HOME STYLE,Canned Goods & Soups,False,,5ab15636e4b0be0a89bb0b07,511111504412,Cogs,5a734034e4b0d58f376be874
test,"{'$ref': 'Cogs', '$id': {'$oid': '59ba6f1ce4b092b29c167346'}}",TEST,Baking,,,5c408e8bcd244a1fdb47aee7,511111504788,Cogs,59ba6f1ce4b092b29c167346
test brand @1598813526777,"{'$ref': 'Cogs', '$id': {'$oid': '5f4bf556be37ce0b44915549'}}",TEST BRANDCODE @1598813526777,Baking,,BAKING,5f4bf556be37ce0b4491554d,511111516354,Cogs,5f4bf556be37ce0b44915549
MorningStar,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5f2e4b03c9a25efd0aa'}}",,,,,57c08106e4b0718ff5fcb02c,511111102540,Cpgs,5332f5f2e4b03c9a25efd0aa
Calumet,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",CALUMET,Baking,False,,588ba07be4b02187f85cdadd,511111201076,Cogs,559c2234e4b06aca36af13c6
Entertainment Weekly,"{'$ref': 'Cogs', '$id': {'$oid': '5d5d4fd16d5f3b23d1bc7905'}}",511111205012,Magazines,,,5d6413156d5f3b23d1bc790a,511111205012,Cogs,5d5d4fd16d5f3b23d1bc7905
AUNT JEMIMA Syrup,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",AUNT JEMIMA SYRUP,Breakfast & Cereal,False,,585a9611e4b03e62d1ce0e74,511111801801,Cogs,5332f5fbe4b03c9a25efd0ba
Molson Canadian,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f709e4b03c9a25efd0f1'}}",MOLSON,Beer Wine Spirits,False,,57e5820ce4b0ac389136a311,511111202233,Cpgs,5332f709e4b03c9a25efd0f1
Lotrimin®,"{'$ref': 'Cogs', '$id': {'$oid': '5d9b4f591dda2c6225a284aa'}}",LOTRIMIN,Health & Wellness,False,HEALTHY_AND_WELLNESS,5fb6adb8be37ce522e165cb8,511111817376,Cogs,5d9b4f591dda2c6225a284aa
test brand @1597342520277,"{'$ref': 'Cogs', '$id': {'$oid': '5f358338be37ce443bf9d557'}}",TEST BRANDCODE @1597342520277,Baking,,BAKING,5f358338be37ce443bf9d55a,511111515319,Cogs,5f358338be37ce443bf9d557
test brand @1605535049181,"{'$ref': 'Cogs', '$id': {'$oid': '5fb28549be37ce522e165cb4'}}",,Baking,False,BAKING,5fb28549be37ce522e165cb5,511111317364,Cogs,5fb28549be37ce522e165cb4
