purchaseDate,pointsEarned,bonusPointsEarnedReason,userId,rewardsReceiptItemList,finishedDate,modifyDate,purchasedItemCount,_id,createDate,bonusPointsEarned,pointsAwardedDate,rewardsReceiptStatus,totalSpent,dateScanned
2021-01-02 19:00:00,500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff1e1eacfcf6c399c274ae6,"[{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '26.00', 'itemPrice': '26.00', 'needsFetchReview': False, 'partnerItemId': '1', 'preventTargetGapPoints': True, 'quantityPurchased': 5, 'userFlaggedBarcode': '4011', 'userFlaggedNewItem': True, 'userFlaggedPrice': '26.00', 'userFlaggedQuantity': 5, 'receiptid': '5ff1e1eb0a720f0523000575'}]",2021-01-03 10:25:31,2021-01-03 10:25:36,5,5ff1e1eb0a720f0523000575,2021-01-03 10:25:31,500,2021-01-03 10:25:31,FINISHED,26.00,2021-01-03 10:25:31
2021-01-02 10:24:43,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff1e194b6a9d73a3a9f1052,"[{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '1', 'itemPrice': '1', 'partnerItemId': '1', 'quantityPurchased': 1, 'receiptid': '5ff1e1bb0a720f052300056b'}, {'barcode': '028400642255', 'description': 'DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ', 'finalPrice': '10.00', 'itemPrice': '10.00', 'needsFetchReview': True, 'needsFetchReviewReason': 'USER_FLAGGED', 'partnerItemId': '2', 'pointsNotAwardedReason': 'Action not allowed for user and CPG', 'pointsPayerId': '5332f5fbe4b03c9a25efd0ba', 'preventTargetGapPoints': True, 'quantityPurchased': 1, 'rewardsGroup': 'DORITOS SPICY SWEET CHILI SINGLE SERVE', 'rewardsProductPartnerId': '5332f5fbe4b03c9a25efd0ba', 'userFlaggedBarcode': '028400642255', 'userFlaggedDescription': 'DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ', 'userFlaggedNewItem': True, 'userFlaggedPrice': '10.00', 'userFlaggedQuantity': 1, 'receiptid': '5ff1e1bb0a720f052300056b'}]",2021-01-03 10:24:43,2021-01-03 10:24:48,2,5ff1e1bb0a720f052300056b,2021-01-03 10:24:43,150,2021-01-03 10:24:43,FINISHED,11.00,2021-01-03 10:24:43
2021-01-02 19:00:00,5,All-receipts receipt bonus,5ff1e1f1cfcf6c399c274b0b,"[{'needsFetchReview': False, 'partnerItemId': '1', 'preventTargetGapPoints': True, 'userFlaggedBarcode': '4011', 'userFlaggedNewItem': True, 'userFlaggedPrice': '26.00', 'userFlaggedQuantity': 3, 'receiptid': '5ff1e1f10a720f052300057a'}]",,2021-01-03 10:25:42,1,5ff1e1f10a720f052300057a,2021-01-03 10:25:37,5,,REJECTED,10.00,2021-01-03 10:25:37
2021-01-02 19:00:00,5.0,All-receipts receipt bonus,5ff1e1eacfcf6c399c274ae6,"[{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '28.00', 'itemPrice': '28.00', 'needsFetchReview': False, 'partnerItemId': '1', 'preventTargetGapPoints': True, 'quantityPurchased': 4, 'userFlaggedBarcode': '4011', 'userFlaggedNewItem': True, 'userFlaggedPrice': '28.00', 'userFlaggedQuantity': 4, 'receiptid': '5ff1e1ee0a7214ada100056f'}]",2021-01-03 10:25:34,2021-01-03 10:25:39,4,5ff1e1ee0a7214ada100056f,2021-01-03 10:25:34,5,2021-01-03 10:25:34,FINISHED,28.00,2021-01-03 10:25:34
2021-01-02 10:25:06,5.0,All-receipts receipt bonus,5ff1e194b6a9d73a3a9f1052,"[{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '1', 'itemPrice': '1', 'partnerItemId': '1', 'quantityPurchased': 1, 'receiptid': '5ff1e1d20a7214ada1000561'}, {'barcode': '1234', 'finalPrice': '2.56', 'itemPrice': '2.56', 'needsFetchReview': True, 'needsFetchReviewReason': 'USER_FLAGGED', 'partnerItemId': '2', 'preventTargetGapPoints': True, 'quantityPurchased': 3, 'userFlaggedBarcode': '1234', 'userFlaggedDescription': '', 'userFlaggedNewItem': True, 'userFlaggedPrice': '2.56', 'userFlaggedQuantity': 3, 'receiptid': '5ff1e1d20a7214ada1000561'}]",2021-01-03 10:25:11,2021-01-03 10:25:11,2,5ff1e1d20a7214ada1000561,2021-01-03 10:25:06,5,2021-01-03 10:25:06,FINISHED,1.00,2021-01-03 10:25:06
2021-01-02 10:25:24,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff1e1e4cfcf6c399c274ac3,"[{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '3.25', 'itemPrice': '3.25', 'needsFetchReview': False, 'originalMetaBriteBarcode': '028400642255', 'originalMetaBriteDescription': 'DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ', 'partnerItemId': '1', 'pointsNotAwardedReason': 'Action not allowed for user and CPG', 'pointsPayerId': '5332f5fbe4b03c9a25efd0ba', 'preventTargetGapPoints': True, 'quantityPurchased': 1, 'rewardsGroup': 'DORITOS SPICY SWEET CHILI SINGLE SERVE', 'rewardsProductPartnerId': '5332f5fbe4b03c9a25efd0ba', 'userFlaggedBarcode': '4011', 'receiptid': '5ff1e1e40a7214ada1000566'}]",2021-01-03 10:25:25,2021-01-03 10:25:30,1,5ff1e1e40a7214ada1000566,2021-01-03 10:25:24,750,2021-01-03 10:25:25,FINISHED,3.25,2021-01-03 10:25:24
2021-01-03 10:25:01,5.0,All-receipts receipt bonus,5ff1e194b6a9d73a3a9f1052,"[{'brandCode': 'MISSION', 'competitorRewardsGroup': 'TACO BELL TACO SHELLS', 'description': 'MSSN TORTLLA', 'discountedItemPrice': '2.23', 'finalPrice': '2.23', 'itemPrice': '2.23', 'originalReceiptItemText': 'MSSN TORTLLA', 'partnerItemId': '1009', 'quantityPurchased': 1, 'receiptid': '5ff1e1cd0a720f052300056f'}]",2021-01-03 10:25:02,2021-01-03 10:25:02,1,5ff1e1cd0a720f052300056f,2021-01-03 10:25:01,5,2021-01-03 10:25:02,FINISHED,2.23,2021-01-03 10:25:01
2020-12-26 19:00:00,500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff1e194b6a9d73a3a9f1052,"[{'barcode': '046000832517', 'brandCode': 'BRAND', 'description': 'Old El Paso Mild Chopped Green Chiles, 4.5 Oz', 'finalPrice': '10.00', 'itemPrice': '10.00', 'partnerItemId': '0', 'pointsNotAwardedReason': 'Action not allowed for user and CPG', 'pointsPayerId': '5332f5f3e4b03c9a25efd0ae', 'quantityPurchased': 1, 'rewardsGroup': 'OLD EL PASO BEANS & PEPPERS', 'rewardsProductPartnerId': '5332f5f3e4b03c9a25efd0ae', 'receiptid': '5ff1e1a40a720f0523000569'}]",2021-01-03 10:24:21,2021-01-03 10:24:21,1,5ff1e1a40a720f0523000569,2021-01-03 10:24:20,500,2021-01-03 10:24:21,FINISHED,10.00,2021-01-03 10:24:20
2021-01-02 19:00:00,5.0,All-receipts receipt bonus,5ff1e1eacfcf6c399c274ae6,"[{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '20.00', 'itemPrice': '20.00', 'needsFetchReview': False, 'partnerItemId': '1', 'preventTargetGapPoints': True, 'quantityPurchased': 5, 'userFlaggedBarcode': '4011', 'userFlaggedNewItem': True, 'userFlaggedPrice': '20.00', 'userFlaggedQuantity': 5, 'receiptid': '5ff1e1ed0a7214ada100056e'}]",2021-01-03 10:25:34,2021-01-03 10:25:38,5,5ff1e1ed0a7214ada100056e,2021-01-03 10:25:33,5,2021-01-03 10:25:34,FINISHED,20.00,2021-01-03 10:25:33
2021-01-02 19:00:00,250.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",5ff1e1eacfcf6c399c274ae6,"[{'barcode': '4011', 'description': 'ITEM NOT FOUND', 'finalPrice': '20.00', 'itemPrice': '20.00', 'needsFetchReview': False, 'partnerItemId': '1', 'preventTargetGapPoints': True, 'quantityPurchased': 3, 'userFlaggedBarcode': '4011', 'userFlaggedNewItem': True, 'userFlaggedPrice': '20.00', 'userFlaggedQuantity': 3, 'receiptid': '5ff1e1eb0a7214ada100056b'}]",2021-01-03 10:25:31,2021-01-03 10:25:36,3,5ff1e1eb0a7214ada100056b,2021-01-03 10:25:31,250,2021-01-03 10:25:31,FINISHED,20.00,2021-01-03 10:25:31
