itemPrice,priceAfterCoupon,pointsPayerId,rewardsProductPartnerId,rewardsGroup,receiptid,targetPrice,needsFetchReviewReason,metabriteCampaignId,barcode,userFlaggedPrice,discountedItemPrice,userFlaggedBarcode,competitorRewardsGroup,originalReceiptItemText,originalFinalPrice,brandCode,quantityPurchased,itemNumber,userFlaggedDescription,pointsNotAwardedReason,description,userFlaggedNewItem,needsFetchReview,originalMetaBriteQuantityPurchased,pointsEarned,deleted,finalPrice,originalMetaBriteDescription,competitiveProduct,userFlaggedQuantity,preventTargetGapPoints,partnerItemId,originalMetaBriteItemPrice,originalMetaBriteBarcode
26.00,,,,,5ff1e1eb0a720f0523000575,,,,4011,26.00,,4011,,,,,5,,,,ITEM NOT FOUND,True,False,,,,26.00,,,5,True,1,,
1,,,,,5ff1e1bb0a720f052300056b,,,,4011,,,,,,,,1,,,,ITEM NOT FOUND,,,,,,1,,,,,1,,
10.00,,5332f5fbe4b03c9a25efd0ba,5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,5ff1e1bb0a720f052300056b,,USER_FLAGGED,,028400642255,10.00,,028400642255,,,,,1,,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,Action not allowed for user and CPG,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,True,True,,,,10.00,,,1,True,2,,
,,,,,5ff1e1f10a720f052300057a,,,,,26.00,,4011,,,,,,,,,,True,False,,,,,,,3,True,1,,
28.00,,,,,5ff1e1ee0a7214ada100056f,,,,4011,28.00,,4011,,,,,4,,,,ITEM NOT FOUND,True,False,,,,28.00,,,4,True,1,,
1,,,,,5ff1e1d20a7214ada1000561,,,,4011,,,,,,,,1,,,,ITEM NOT FOUND,,,,,,1,,,,,1,,
2.56,,,,,5ff1e1d20a7214ada1000561,,USER_FLAGGED,,1234,2.56,,1234,,,,,3,,,,,True,True,,,,2.56,,,3,True,2,,
3.25,,5332f5fbe4b03c9a25efd0ba,5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,5ff1e1e40a7214ada1000566,,,,4011,,,4011,,,,,1,,,Action not allowed for user and CPG,ITEM NOT FOUND,,False,,,,3.25,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,,,True,1,,028400642255
2.23,,,,,5ff1e1cd0a720f052300056f,,,,,,2.23,,TACO BELL TACO SHELLS,MSSN TORTLLA,,MISSION,1,,,,MSSN TORTLLA,,,,,,2.23,,,,,1009,,
10.00,,5332f5f3e4b03c9a25efd0ae,5332f5f3e4b03c9a25efd0ae,OLD EL PASO BEANS & PEPPERS,5ff1e1a40a720f0523000569,,,,046000832517,,,,,,,BRAND,1,,,Action not allowed for user and CPG,"Old El Paso Mild Chopped Green Chiles, 4.5 Oz",,,,,,10.00,,,,,0,,
20.00,,,,,5ff1e1ed0a7214ada100056e,,,,4011,20.00,,4011,,,,,5,,,,ITEM NOT FOUND,True,False,,,,20.00,,,5,True,1,,
20.00,,,,,5ff1e1eb0a7214ada100056b,,,,4011,20.00,,4011,,,,,3,,,,ITEM NOT FOUND,True,False,,,,20.00,,,3,True,1,,
1,,,,,5ff1e1c50a720f052300056c,,,,4011,,,,,,,,1,,,,ITEM NOT FOUND,,,,,,1,,,,,1,,
50.00,,5332f5f3e4b03c9a25efd0ae,5332f5f3e4b03c9a25efd0ae,ANNIE'S HOMEGROWN MULTI-SERVING MAC & CHEESE,5ff1e1a10a720f0523000568,,POINTS_GREATER_THAN_THRESHOLD,,013562300631,,50.00,,,,,,5,013562300631,,Action not allowed for user and CPG,"Annie's Homegrown Organic White Cheddar Macaroni & Cheese Shells, 6 Oz",,True,1,,,50.00,,,,,1,,
